labelKey |English Label|Bengali Label|Hindi Label|French Label|German Label
content_trainingDetailsReportList_label|Training Details Report List |  প্রশিক্ষণের বিবরণী রিপোর্টের তালিকা |  प्रशिक्षण विवरण रिपोर्ट सूची |  Liste du rapport des détails de la formation |  Liste der Trainingsdetails
content_trainingDetails_subjectId_label|Subject Id |  বিষয় আইডি |  विषय आईडी |  Identifiant du sujet |  Betreff-ID
content_trainingDetails_hourNo_label|Hour No |  আওয়ার নং |  घंटे नहीं |  Numéro d'heure |  Stunden-Nr.
content_trainingDetails_classDate_label|Class Date |  শ্রেণির তারিখ |  कक्षा की तारीख |  Date du cours |  Klassendatum
content_trainingDetails_isAttend_label|Is Attend |  উপস্থিতি রয়েছে |  उपस्थिति है टिप्पणीTraining Details List |  Est présent |  Wird besucht
content_trainingDetails_remarks_label|Remarks |  মন্তব্যসমূহ | Training Details Form |  Remarques |  Bemerkungen

content_empDocInfoList_label|Emp Doc Info List | এম্প ডক ইনফো লিস্ট | एम्प्लॉई डॉक इन्फोर्मेशन | Emp Doc Info List | Emp Doc-Info-Liste
content_empDocInfoForm_label|Emp Doc Info Form |  এমপ ডক ইনফো ফর্ম |  एम्पल डॉक इन्फोर्मेशन |  Formulaire Info Emp Doc |  Emp Doc-Info-Formular
content_empDocInfoReportList_label|Emp Doc Info Report List |  এমপ ডক ইনফো রিপোর্ট রিপোর্ট |  एम्प डॉक इन्फोर्मेशन लिस्ट |  Liste Emp Report Info Identifiant d'employé Nom du document Détails du document Balises |  Emp Doc-Info-Berichtsliste
content_empDocInfo_employeeId_label|Employee Id |  কর্মচারী আইডি |  एम्प्लॉई आईडी |  Document |  Mitarbeiter-ID
content_empDocInfo_documentName_label|Document Name |  ডকুমেন্টের নাম |  डॉक्यूमेंट का नाम | Emp Doc Info List |  Dokumentname
content_empDocInfo_documentDetails_label|Document Details |  ডকুমেন্টের বিবরণ |  डॉक्यूमेंट का विवरण टैग | Emp Doc Info Form |  Dokumentdetails
content_empDocInfo_tags_label|Tags |  ট্যাগস |  डॉक्यूमेंट | Emp Doc Info Report List |  Tags
content_empDocInfo_document_label|Document |  ডকুমেন্ট |  डॉक्यूमेंट | Employee Id |  Dokument

content_leaveTypeList_label|Leave Type List | প্রকারের তালিকা ছেড়ে দিন | टाइप लिस्ट छोड़ो | Liste des types de congés | Typliste verlassen
content_leaveTypeForm_label|Leave Type Form |  প্রকার ত্যাগের ফর্ম |  टाइप टाइप छोड़ो |  Formulaire de type de congés |  Typformular verlassen
content_leaveTypeReportList_label|Leave Type Report List |  প্রস্থান ত্যাগের রিপোর্টের তালিকা |  टाइप टाइप लिस्ट छोड़ो |  Liste des rapports sur les types de congés |  Typberichtsliste verlassen
content_leaveType_name_label|Name |  নাম |  नाम |  Nom |  Name
content_leaveType_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung

content_leaveRequestList_label|Leave Request List | অনুরোধের তালিকাটি ছেড়ে দিন | रिक्वेस्ट लिस्ट छोड़ो रिक्वेस्ट फॉर्म छोड़ो | Liste de demande de congé | Anforderungsliste verlassen
content_leaveRequestForm_label|Leave Request Form |  অনুরোধের ফর্মটি ছেড়ে দিন |  रिक्वेस्ट रिपोर्ट लिस्ट छोड़ो |  Formulaire de demande de congé |  Anforderungsformular verlassen
content_leaveRequestReportList_label|Leave Request Report List |  অনুরোধের রিপোর্টের তালিকাটি ছেড়ে দিন |  कर्मचारी आईडी |  Liste du rapport de demande de congé |  Anforderungsberichtsliste verlassen
content_leaveRequest_employeeId_label|Employee Id |  কর্মচারী আইডি |  लीव टाइप आईडी |  Identifiant d'employé |  Mitarbeiter-ID
content_leaveRequest_leaveTypeId_label|Leave Type Id |  প্রকারের আইডি |  डेट से |  Identifiant de type de congé |  Typ-ID verlassen
content_leaveRequest_fromDate_label|From Date |  তারিখ থেকে |  थ्रू डेट |  Date de début |  Ab Datum
content_leaveRequest_thruDate_label|Thru Date |  তারিখের মাধ্যমে | Leave Request List |  Date de fin |  Durch Datum

content_holidayTypeList_label|Holiday Type List | ছুটির ধরণের তালিকা | हॉलिडे टाइप लिस्ट | Liste des types de vacances | Feiertagsartenliste
content_holidayTypeForm_label|Holiday Type Form |  ছুটির ধরণের ফর্ম |  हॉलीडे टाइप फॉर्म |  Formulaire de type de vacances |  Feiertagsartenformular
content_holidayTypeReportList_label|Holiday Type Report List |  ছুটির ধরণের রিপোর্টের তালিকা |  हॉलीडे टाइप रिपोर्ट लिस्ट |  Liste des rapports sur les types de vacances |  Feiertagsartenberichtsliste
content_holidayType_name_label|Name |  নাম |  नाम |  Nom |  Name
content_holidayType_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung

content_holidayList_label|Holiday List | ছুটির তালিকা | हॉलिडे लिस्ट | Liste de jours fériés | Feiertagsliste
content_holidayForm_label|Holiday Form |  হলিডে ফর্ম |  हॉलीडे फॉर्म |  Formulaire de vacances |  Feiertagsformular
content_holidayReportList_label|Holiday Report List |  হলিডে রিপোর্টের তালিকা |  हॉलीडे रिपोर्ट लिस्ट |  Liste de rapports de jours fériés |  Feiertagsberichtsliste
content_holiday_title_label|Title |  শিরোনাম |  शीर्षक |  Titre |  Titel
content_holiday_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung
content_holiday_holidayTypeId_label|Holiday Type Id |  ছুটির ধরণের আইডি |  हॉलिडे टाइप आईडी |  Identifiant du type de jour férié.Holiday List |  Feiertagsart-ID
content_holiday_fromDate_label|From Date |  তারিখ থেকে |  तारीख से | Holiday Form |  Ab Datum
content_holiday_thruDate_label|Thru Date |  তারিখের মধ্য দিয়ে |  थ्रू डेट | Holiday Report List |  Durch Datum

content_expepnseTypeList_label|Expepnse Type List | Expepnse প্রকারের তালিকা | Expepnse टाइप सूची | Liste des types d’expepnse | Expepnse Type List
content_expepnseTypeForm_label|Expepnse Type Form |  Expepnse প্রকারের ফর্ম |  Expepnse टाइप फॉर्म |  Forme du type d’expepnse |  Expepnse Type Form
content_expepnseTypeReportList_label|Expepnse Type Report List |  Expepnse ধরণের প্রতিবেদন তালিকা |  Expepnse टाइप रिपोर्ट सूची |  Liste de rapports du type d’expepnse |  Expepnse Type Report List
content_expepnseType_name_label|Name |  নাম |  नाम |  Nom |  Name
content_expepnseType_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung

content_expenseList_label|Expense List | ব্যয়ের তালিকা | व्यय सूची | Liste de dépenses | Spesenliste
content_expenseForm_label|Expense Form |  ব্যয়ের ফর্ম |  व्यय प्रपत्र |  Formulaire de dépenses |  Spesenformular
content_expenseReportList_label|Expense Report List |  ব্যয়ের রিপোর্টের তালিকা |  व्यय रिपोर्ट सूची |  Liste de notes de dépenses |  Spesenabrechnungsliste
content_expense_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  Identifiant d'employé |  Mitarbeiter-ID
content_expense_expenseTypeId_label|Expense Type Id |  ব্যয়ের ধরণের আইডি |  व्यय प्रकार आईडी |  Identifiant de type de dépenses |  Spesentyp-ID
content_expense_amount_label|Amount |  পরিমাণ |  राशि |  Montant |  Betrag
content_expense_transactionDate_label|Transaction Date |  লেনদেনের তারিখ |  लेन-देन दिनांक।Expense List |  Date de transaction |  Transaktionsdatum

content_incomeTypeList_label|Income Type List | আয়ের ধরণের তালিকা | आय प्रकार सूची | Liste des types de revenus | Einkommensartenliste
content_incomeTypeForm_label|Income Type Form |  আয়ের ধরণের ফর্ম |  आय प्रकार फार्म |  Forme du type de revenus |  Einkommensartenformular
content_incomeTypeReportList_label|Income Type Report List |  আয়ের ধরণের রিপোর্টের তালিকা |  आय प्रकार रिपोर्ट सूची |  Liste des rapports des types de revenus |  Einkommensartenberichtsliste
content_incomeType_name_label|Name |  নাম |  नाम |  Nom |  Name
content_incomeType_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung

content_incomeList_label|Income List | আয়ের তালিকা | आय सूची | Liste de revenu | Einkommensliste
content_incomeForm_label|Income Form |  আয় ফর্ম |  आय प्रपत्र |  Formulaire de revenu |  Einkommensformular
content_incomeReportList_label|Income Report List |  আয় রিপোর্টের তালিকা |  आय रिपोर्ट सूची |  Liste de rapport de revenu |  Einkommensberichtsliste
content_income_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  Identifiant d'employé |  Mitarbeiter-ID
content_income_incomeTypeId_label|Income Type Id |  আয়ের ধরণের আইডি |  आय प्रकार आईडी |  Identifiant de type de revenu |  Einkommensart-ID
content_income_amount_label|Amount |  পরিমাণ |  राशि |  Montant |  Betrag
content_income_transactionDate_label|Transaction Date |  লেনদেনের তারিখ |  लेन-देन की तारीख |  Date de transaction |  Transaktionsdatum

content_companyBalanceList_label|Company Balance List | কোম্পানির ব্যালেন্সের তালিকা | कंपनी शेष सूची | Liste des soldes de la société | Firmenbilanzliste
content_companyBalanceForm_label|Company Balance Form |  কোম্পানির ব্যালেন্স ফর্ম |  कंपनी शेष फार्म |  Formulaire de bilan de la société |  Firmenbilanzformular
content_companyBalanceReportList_label|Company Balance Report List |  কোম্পানির ব্যালেন্স রিপোর্টের তালিকা |  कंपनी शेष रिपोर्ट सूची |  Liste de rapports sur le solde de la société |  Firmenbilanzberichtsliste
content_companyBalance_companyProfileId_label|Company Profile Id |  কোম্পানির প্রোফাইল আইডি |  कंपनी प्रोफाइल आईडी |  ID de profil de la société |  Firmenprofil-ID
content_companyBalance_initialBalance_label|Initial Balance |  প্রাথমিক ব্যালেন্স |  प्रारंभिक शेष |  Solde initial |  Anfangssaldo
content_companyBalance_currentBalance_label|Current Balance |  বর্তমান ব্যালেন্স |  वर्तमान शेष राशि |  Solde actuel |  Aktueller Saldo

content_disciplinaryCasesList_label|Disciplinary Cases List | ডিসিপ্লিনারি কেস তালিকা | अनुशासनात्मक मामलों की सूची | Liste des affaires disciplinaires | Liste der Disziplinarfälle
content_disciplinaryCasesForm_label|Disciplinary Cases Form |  ডিসিপ্লিনারি কেস ফর্ম |  अनुशासनात्मक मामलों की रिपोर्ट |  Formulaire des affaires disciplinaires |  Formular für Disziplinarfälle
content_disciplinaryCasesReportList_label|Disciplinary Cases Report List |  ডিসিপ্লিনারি কেস রিপোর্টের লিস্ট |  अनुशासनात्मक मामलों की रिपोर्ट सूची |  Liste du rapport des affaires disciplinaires |  Liste der Disziplinarfälle
content_disciplinaryCases_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  Identifiant de l'employé |  Mitarbeiter-ID
content_disciplinaryCases_caseName_label|Case Name |  কেসের নাম |  केस का नाम |  Nom de l'affaire |  Name des Falls
content_disciplinaryCases_description_label|Description |  বর্ণনা |  विवरण |  Description |  Beschreibung

content_employeeSalaryList_label|Employee Salary List | কর্মচারীদের বেতন তালিকা | कर्मचारी वेतन सूची | Liste des salaires des employés Formulaire de salaire des employés Liste du rapport des salaires des employés Identifiant de l'employé Montant Pourcentage d'impôt | Liste der Mitarbeitergehälter
content_employeeSalaryForm_label|Employee Salary Form |  কর্মচারীদের বেতন ফর্ম |  कर्मचारी वेतन फॉर्म | Employee Salary List |  Formular für Mitarbeitergehälter
content_employeeSalaryReportList_label|Employee Salary Report List |  কর্মচারী বেতন রিপোর্টের তালিকা |  कर्मचारी वेतन रिपोर्ट सूची | Employee Salary Form |  Liste der Mitarbeitergehälter
content_employeeSalary_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी | Employee Salary Report List |  Mitarbeiter-ID
content_employeeSalary_amount_label|Amount |  পরিমাণ |  राशि | Employee Id |  Betrag
content_employeeSalary_taxPercent_label|Tax Percent |  করের শতাংশ |  कर का प्रतिशतEmployee Salary List | Amount |  Steuerprozent

content_providendFundList_label|Providend Fund List | ফান্ডের তালিকা সরবরাহ করুন | प्रोविडेंड फंड लिस्ट | Liste de fonds Providend | Providend-Fondsliste
content_providendFundForm_label|Providend Fund Form |  তহবিলের ফর্ম সরবরাহ করুন |  प्रोविडेंड फंड फॉर्म |  Formulaire de fonds Providend |  Providend-Fondsformular
content_providendFundReportList_label|Providend Fund Report List |  তহবিল রিপোর্টের তালিকা সরবরাহ করুন |  प्रोविडेंड फंड रिपोर्ट लिस्ट |  Liste de rapports de fonds Providend |  Providend-Fondsberichtsliste
content_providendFund_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  numéro d’identification de l’employé |  Mitarbeiter-ID
content_providendFund_monthlyAmount_label|Monthly Amount |  মাসিক পরিমাণ |  मासिक मासिक |  montant mensuel |  Monatsbetrag
content_providendFund_installmentMonths_label|Installment Months |  কিস্তির মাস |  किस्त महीने |  mois de versement |  Ratenmonate
content_providendFund_pfDetails_label|Pf Details |  পিএফ বিবরণ |  पीएफ विवरण |  détails de la rémunération |  Pf-Details

content_pfDetailsList_label|Pf Details List | পিএফ বিশদ তালিকা | Pf विवरण सूची | Liste Pf Details | Pf-Details-Liste
content_pfDetailsForm_label|Pf Details Form |  পিএফ বিবরণ ফর্ম |  Pf विवरण प्रपत्र |  Formulaire Pf Details |  Pf-Details-Formular
content_pfDetailsReportList_label|Pf Details Report List |  পিএফ বিবরণ রিপোর্টের তালিকা |  Pf विवरण रिपोर्ट सूची |  Liste Pfats de rapports Pf |  Pf-Details-Berichtsliste
content_pfDetails_providendFundId_label|Providend Fund Id |  প্রদানের তহবিল আইডি |  प्रोविडेंड फंड आईडी |  Identifiant du fonds Providend |  Providend Fund Id
content_pfDetails_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  Identifiant de l'employé |  Employee Id
content_pfDetails_monthNo_label|Month No |  মাসের নম্বর |  महीना नहीं |  Numéro du mois |  Month No
content_pfDetails_empAmount_label|Emp Amount |  এমপ পরিমাণ |  राशि नहीं |  Montant de l'employé |  Emp Amount
content_pfDetails_companyAmount_label|Company Amount |  কোম্পানির পরিমাণ |  कंपनी राशि |  Montant de l'entreprise |  Company Amount

content_pfLoanList_label|Pf Loan List | পিএফ anণ তালিকা | Pf लोन लिस्ट | Liste de prêts Pf | Pf-Darlehensliste
content_pfLoanForm_label|Pf Loan Form |  পিএফ anণ ফর্ম |  Pf लोन फॉर्म |  Formulaire de prêt Pf |  Pf-Darlehensformular
content_pfLoanReportList_label|Pf Loan Report List |  পিএফ anণ রিপোর্টের তালিকা |  Pf लोन रिपोर्ट लिस्ट |  Liste de rapports de prêt Pf |  Pf-Darlehensberichtsliste
content_pfLoan_employeeId_label|Employee Id |  কর্মচারী আইডি |  Employee Id |  Identifiant d'employé |  Mitarbeiter-ID
content_pfLoan_installment_label|Installment |  কিস্তি |  किस्त |  Acompte |  Ratenzahlung
content_pfLoan_transactionDate_label|Transaction Date |  লেনদেনের তারিখ |  लेन-देन |  Date de transaction |  Transaktionsdatum
content_pfLoan_installmentFrom_label|Installment From |  কিস্তি থেকে |  किस्त |  Acompte à partir de |  Ratenzahlung von
content_pfLoan_pfLoanInstallment_label|Pf Loan Installment |  পিএফ anণের কিস্তি |  से |  Acompte sur prêt Pf |  Pf-Darlehensrate
content_pfLoan_installmentTo_label|Installment To |  কিস্তি থেকে |  Pf लोन की किस्त |  Acompte à |  Ratenzahlung bis

content_pfLoanInstallmentList_label|Pf Loan Installment List | পিএফ anণের কিস্তি তালিকা | पीएफ ऋण किस्त सूची | Liste des acomptes provisionnels Pf | Liste der Pf-Darlehensraten
content_pfLoanInstallmentForm_label|Pf Loan Installment Form |  পিএফ anণ কিস্তি ফর্ম |  पीएफ ऋण किस्त फार्म |  Formulaire d'acompte provisionnel Pf |  Formular für Pf-Darlehensraten
content_pfLoanInstallmentReportList_label|Pf Loan Installment Report List |  পিএফ anণ কিস্তি রিপোর্টের তালিকা |  पीएफ ऋण किस्त रिपोर्ट सूची |  Liste du rapport d'acomptes provisionnels Pf |  Berichtsliste für Pf-Darlehensraten
content_pfLoanInstallment_pfLoanId_label|Pf Loan Id |  পিএফ anণ আইডি |  पीएफ ऋण आईडी |  Identifiant du prêt Pf |  Pf-Darlehens-ID
content_pfLoanInstallment_installment_label|Installment |  কিস্তি |  स्थापना |  Acompte provisionnel |  Rate
content_pfLoanInstallment_monthNo_label|Month No |  মাস নং |  महीना नहीं |  Mois Date de la transaction |  Monats-Nr .
content_pfLoanInstallment_transactionDate_label|Transaction Date |  লেনদেনের তারিখ |  लेन-देन की तारीख | Pf Loan Installment List |  Transaktionsdatum

content_publicMenuList_label|Public Menu List | পাবলিক মেনু তালিকা | सार्वजनिक मेनू सूची | Liste des menus publics | Öffentliche Menüliste
content_publicMenuForm_label|Public Menu Form |  পাবলিক মেনু ফর্ম |  सार्वजनिक मेनू प्रपत्र |  Formulaire de menu public |  Formular für öffentliche Menüs
content_publicMenuReportList_label|Public Menu Report List |  পাবলিক মেনু রিপোর্ট তালিকা |  सार्वजनिक मेनू रिपोर्ट सूची |  Liste des rapports des menus publics |  Berichtsliste für öffentliche Menüs
content_publicMenu_menuText_label|Menu Text |  মেনু পাঠ্য |  मेनू पाठ |  Texte du menu |  Menütext
content_publicMenu_linkType_label|Link Type |  লিঙ্কের প্রকার |  लिंक प्रकार |  Type de lien |  Verknüpfungstyp
content_publicMenu_menuLinkUrl_label|Menu Link Url |  মেনু লিঙ্ক url |  मेनू लिंक यूआरएल |  URL du lien de menu |  Link-URL für Menü

content_featuresList_label|Features List | বৈশিষ্ট্য তালিকা | सुविधाएँ सूची | Liste des fonctionnalités | Funktionsliste
content_featuresForm_label|Features Form |  বৈশিষ্ট্য ফর্ম |  सुविधाएँ फ़ॉर्म |  Formulaire des fonctionnalités |  Funktionsformular
content_featuresReportList_label|Features Report List |  বৈশিষ্ট্যগুলি প্রতিবেদনের তালিকা |  सुविधाएँ रिपोर्ट सूची |  Liste du rapport des fonctionnalités |  Funktionsberichtsliste
content_features_icon_label|Icon |  আইকন |  चिह्न |  Icône |  Symbol
content_features_title_label|Title |  শিরোনাম |  शीर्षक |  Titre |  Titel
content_features_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung
content_features_frontPageId_label|Front Page Id |  সম্মুখ পৃষ্ঠার আইডি |  सामने पृष्ठ आईडी |  Identifiant de la page d'accueil |  ID der Startseite

content_characteristicsList_label|Characteristics List | বৈশিষ্ট্য তালিকা | अभिलक्षण सूची | Liste de caractéristiques | Merkmalsliste
content_characteristicsForm_label|Characteristics Form |  বৈশিষ্ট্য ফর্ম |  अभिलक्षण रूप |  Formulaire de caractéristiques |  Merkmalsformular
content_characteristicsReportList_label|Characteristics Report List |  চরিত্রগত প্রতিবেদন তালিকা |  अभिलक्षण रिपोर्ट सूची |  Liste de rapports de caractéristiques |  Merkmalsberichtsliste
content_characteristics_icon_label|Icon |  আইকন |  चिह्न |  Icône |  Symbol
content_characteristics_title_label|Title |  শিরোনাম |  शीर्षक |  Titre |  Titel
content_characteristics_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung
content_characteristics_frontPageId_label|Front Page Id |  সম্মুখ পৃষ্ঠার আইডি |  सामने पृष्ठ आईडी |  Identifiant de la page d'accueil |  Titelseiten-ID

content_projectsList_label|Projects List | প্রকল্পের তালিকা | प्रोजेक्ट्स लिस्ट | Liste de projets | Projektliste
content_projectsForm_label|Projects Form |  প্রকল্পগুলির ফর্ম |  प्रोजेक्ट्स फॉर्म |  Formulaire de projets |  Projektformular
content_projectsReportList_label|Projects Report List |  প্রকল্পগুলির প্রতিবেদনের তালিকা |  प्रोजेक्ट रिपोर्ट लिस्ट |  Liste de rapports de projets |  Projektberichtsliste
content_projects_name_label|Name |  নাম |  नाम |  Nom |  Name
content_projects_shortDetails_label|Short Details |  সংক্ষিপ্ত বিবরণ |  संक्षिप्त विवरण |  Détails courts |  Kurzdetails
content_projects_features_label|Features |  বৈশিষ্ট্য |  विशेषताएं |  Fonctionnalités |  Funktionen
content_projects_frontPageId_label|Front Page Id |  সম্মুখ পৃষ্ঠার আইডি |  फ्रंट पेज आईडी |  Identifiant de la page d'accueil |  Titelseiten-ID

content_pricingPlanList_label|Pricing Plan List | প্রাইসিং প্ল্যানের তালিকা | मूल्य निर्धारण योजना सूची | Liste de plan de tarification | Preisplanliste
content_pricingPlanForm_label|Pricing Plan Form |  প্রাইসিং প্ল্যান ফর্ম |  मूल्य निर्धारण योजना प्रपत्र |  Formulaire de plan de tarification |  Preisplanformular
content_pricingPlanReportList_label|Pricing Plan Report List |  প্রাইসিং প্ল্যান রিপোর্টের তালিকা |  मूल्य निर्धारण योजना रिपोर्ट सूची |  Liste de rapports de plan de tarification |  Preisplanberichtsliste
content_pricingPlan_type_label|Type |  প্রকার |  प्रकार |  Type |  Typ
content_pricingPlan_rate_label|Rate |  হার |  दर |  Taux |  Preis
content_pricingPlan_unit_label|Unit |  ইউনিট |  इकाई |  Unité |  Einheit
content_pricingPlan_buyLink_label|Buy Link |  লিংক কিনুন |  लिंक खरीदें |  Lien d'achat |  Kauflink
content_pricingPlan_frontPageId_label|Front Page Id |  সম্মুখ পৃষ্ঠার আইডি |  फ्रंट पेज आईडी |  Id de la page d'accueil |  Titelseiten-ID

content_teamList_label|Team List | টিম তালিকা | टीम सूची | Liste d'équipe | Teamliste
content_teamForm_label|Team Form |  টিম ফর্ম |  टीम फॉर्म |  Forme d'équipe |  Teamformular
content_teamReportList_label|Team Report List |  টিম রিপোর্ট তালিকা |  टीम रिपोर्ट सूची |  Liste de rapport d'équipe |  Teamberichtsliste
content_team_memberName_label|Member Name |  সদস্যের নাম |  सदस्य का नाम |  Nom du membre |  Mitgliedsname
content_team_designation_label|Designation |  পদবি |  पदनाम |  Désignation |  Bezeichnung
content_team_about_label|About |  প্রায় |  के बारे में |  À propos de |  Info
content_team_githubLink_label|Github Link |  গিতুব লিঙ্ক |  जीथब लिंक |  Lien Github |  Github-Link
content_team_twitterLink_label|Twitter Link |  টুইটার লিঙ্ক |  ट्विटर लिंक |  Lien Twitter |  Twitter-Link
content_team_facebookLink_label|Facebook Link |  ফেসবুক লিঙ্ক |  फेसबुक लिंक |  Lien Facebook |  Facebook-Link
content_team_frontPageId_label|Front Page Id |  সম্মুখ পৃষ্ঠা আইডি |  फ्रंट पेज आईडी |  Identifiant de la page d'accueil |  Titelseiten-ID

content_frontPageList_label|Front Page List | সম্মুখ পৃষ্ঠার তালিকা | फ्रंट पेज सूची | Liste de la page d'accueil | Titelseitenliste
content_frontPageForm_label|Front Page Form |  সম্মুখ পৃষ্ঠার ফর্ম |  फ्रंट पेज फॉर्म |  Formulaire de la page d'accueil |  Formular der Titelseite
content_frontPageReportList_label|Front Page Report List |  সম্মুখ পৃষ্ঠা রিপোর্টের তালিকা |  फ्रंट पेज रिपोर्ट सूची |  Liste du rapport de la page d'accueil |  Berichtsliste der Titelseite
content_frontPage_title_label|Title |  শিরোনাম |  शीर्षक |  Titre |  Titel
content_frontPage_heading_label|Heading |  শিরোনাম |  शीर्षक |  Titre |  Überschrift
content_frontPage_headline_label|Headline |  শিরোনাম |  हेडलाइन |  Titre |  Beschreibung
content_frontPage_description_label|Description |  বিবরণ |  विवरण |  Description |  Spezieller Link
content_frontPage_specialLink_label|Special Link |  বিশেষ লিঙ্ক |  विशेष लिंक |  Lien spécial |  Link-Typ
content_frontPage_linkType_label|Link Type |  লিঙ্কের প্রকার |  लिंक |  Type de lien |  Details Link
content_frontPage_detailsLink_label|Details Link |  বিশদ লিঙ্ক |  विवरण |  Lien de détails |  Details Link-Text
content_frontPage_detailsLinkText_label|Details Link Text |  বিশদ লিঙ্ক পাঠ্য |  लिंक |  Lien de détails |  Kontakt Überschrift
content_frontPage_contactUsHeadline_label|Contact Us Headline |  আমাদের সাথে যোগাযোগ করুন শিরোনাম |  विवरण लिंक टेक्स्ट |  Contactez-nous Titre |  Fußzeilen-Nachricht
content_frontPage_footerMessage_label|Footer Message |  পাদচরণ বার্তা |  हमसे संपर्क करें हेडर |  Pied de page Message |  Fußzeilen-Link
content_frontPage_footerLink_label|Footer Link |  পাদদেশ লিঙ্ক |  पाद संदेश |  Pied de page Lien |  Facebook-Link
content_frontPage_facebookLink_label|Facebook Link |  ফেসবুক লিঙ্ক |  पाद लिंक |  Lien Facebook |  Github-Link
content_frontPage_githubLink_label|Github Link |  গিথুব লিঙ্ক |  फेसबुक लिंक |  Lien Github |  Front Page List
content_frontPage_twitterLink_label|Twitter Link |  Front Page List |  जीथब लिंक |  Front Page List | Front Page Form
content_frontPage_linkedInLink_label|Linked In Link | Front Page Form |  Front Page List | Front Page Form | Front Page Report List
content_frontPage_features_label|Features | Front Page Report List | Front Page Form | Front Page Report List | Title
content_frontPage_characteristics_label|Characteristics | Title | Front Page Report List | Title | Heading
content_frontPage_projects_label|Projects | Heading | Title | Heading | Headline
content_frontPage_pricingPlan_label|Pricing Plan | Headline | Heading | Headline | Description
content_frontPage_team_label|Team | Description | Headline | Description | Special Link

